Month_Day,2016,2017,2018,2019,2020,2021,2022
01-01,276.291,339.5196,305.937,313.632,344.9952,344.0718,246.6612
01-02,294.678,405.7614,365.8932,391.3758,380.8296,362.9772,263.898
01-03,306.3096,407.3976,368.2746,424.1646,356.8698,365.148,316.3698
01-04,370.0566,419.0454,372.114,404.0766,348.2028,436.0716,348.6078
01-05,367.3998,457.164,367.8534,364.014,357.5502,446.634,360.4338
01-06,373.1184,462.7692,346.0806,369.441,407.187,447.0228,381.9312
01-07,371.6766,417.15,367.6752,411.804,411.2046,462.8178,374.0418
01-08,368.874,402.2622,418.7376,408.1914,410.4756,460.404,337.1706
01-09,328.455,453.8754,415.2708,435.2616,380.5704,420.39,348.7536
01-10,322.9632,450.2466,420.552,463.4658,389.4804,410.4756,432.5724
01-11,386.1108,421.0704,432.4428,429.7698,361.3734,449.0964,439.5384
01-12,386.5644,413.667,416.8422,363.123,357.9066,440.2512,434.6784
01-13,399.8322,415.368,372.0006,346.9716,409.4874,431.7786,420.5682
01-14,411.561,376.5042,381.429,424.2618,378.513,470.6748,418.7862
01-15,412.209,393.1254,416.907,416.8584,376.7472,475.3404,377.6868
01-16,363.609,477.981,412.9542,414.2178,401.0796,425.574,344.5254
01-17,376.7796,489.078,424.2456,421.443,395.7012,419.1912,395.442
01-18,478.4508,488.5596,411.723,451.0728,375.5484,440.0244,421.6536
01-19,491.1516,487.0368,422.334,408.402,390.8898,413.4564,390.6468
01-20,484.3638,468.1314,380.0844,420.1146,459.027,387.3906,401.5656
01-21,487.8468,419.9364,379.2582,492.48,472.1976,375.3864,400.5774
01-22,445.9698,424.2456,418.608,490.7304,483.1326,400.788,368.4366
01-23,350.7786,491.8482,394.0812,500.7096,479.034,375.6456,369.3276
01-24,341.9334,494.019,368.631,503.3664,464.859,391.2624,433.593
01-25,380.9592,489.969,385.5924,465.3936,406.9764,455.3334,440.9154
01-26,363.7062,465.7824,394.5024,377.7516,382.482,452.2878,419.337
01-27,347.8464,446.4558,348.3324,372.0978,419.5314,447.5088,392.7528
01-28,365.1156,391.1814,331.0794,439.2144,417.9114,429.8022,382.9356
01-29,351.054,380.1006,373.8474,458.7678,418.77,400.059,317.4552
01-30,311.7528,423.63,396.7704,460.323,385.884,389.8368,325.5066
01-31,310.1166,438.7122,388.1682,456.3216,350.973,393.9192,391.554
02-01,342.387,424.7316,409.0176,441.2232,315.7218,447.3954,373.329
02-02,351.2808,393.9516,403.0236,391.5702,332.505,414.2826,377.46
02-03,375.1596,386.4348,375.4026,397.1106,378.837,390.7116,377.1846
02-04,382.4982,343.2942,387.0666,437.1894,407.0898,416.34,351.297
02-05,354.132,351.5076,462.591,452.2878,438.5016,402.084,314.523
02-06,299.7,424.7316,474.8706,438.048,451.1862,370.3806,314.361
02-07,303.102,428.976,473.8014,418.3164,423.9054,404.8056,370.008
02-08,344.8494,446.31,467.8722,382.0932,355.1364,487.5552,352.2852
02-09,359.6886,452.8224,440.4294,333.639,318.7998,509.4576,376.7634
02-10,385.9002,437.6916,382.0284,346.7934,376.731,521.154,372.276
02-11,383.1462,375.4188,372.5028,416.4048,389.8044,519.8256,378.108
02-12,374.6898,376.0344,422.4312,427.0482,401.8734,511.2234,330.1884
02-13,327.0618,423.3708,436.8492,414.9144,418.9968,467.9208,310.392
02-14,326.1222,422.0262,434.3868,408.4182,399.9942,442.8918,346.9392
02-15,396.495,407.4624,423.2412,381.3966,321.3594,471.2094,354.861
02-16,421.0542,389.0268,409.4064,334.2222,303.0372,430.9362,341.7876
02-17,407.4138,393.7734,377.2008,333.3474,369.5058,408.24,338.3856
02-18,397.6938,349.8228,376.3908,380.295,381.834,397.4346,335.5182
02-19,381.024,338.4504,442.2762,383.3244,404.8542,384.102,303.0696
02-20,316.791,365.796,448.6428,384.426,391.6836,325.2312,296.46
02-21,298.0638,358.9596,447.606,376.2288,376.326,329.3784,355.6386
02-22,350.3574,352.593,444.4146,376.2774,317.115,380.862,357.6312
02-23,379.5174,360.5634,435.375,345.1896,325.4094,354.3426,358.182
02-24,385.8678,379.0638,392.2506,341.9172,373.896,343.9098,352.8036
02-25,397.2402,330.6906,409.9248,377.3952,384.6366,358.3278,359.154
02-26,384.183,310.9752,478.8882,374.5764,424.2456,370.8504,331.5168
02-27,335.5182,347.3118,489.645,360.8064,435.132,345.8214,325.0206
02-28,335.7936,369.927,483.084,357.2424,389.7882,347.5224,372.7134
02-29,398.1474,,,,321.327,,
03-01,388.7352,372.8916,464.697,366.3144,330.804,407.43,395.4744
03-02,377.9298,368.1612,440.964,317.0178,403.4934,407.6406,393.903
03-03,384.3126,356.5458,389.6262,298.5822,423.9216,395.2152,377.1522
03-04,370.6074,305.2242,362.1348,352.3824,426.0438,404.2548,375.5646
03-05,327.321,317.3904,387.0828,368.7768,409.6656,415.4004,328.7466
03-06,329.913,383.0652,403.2018,349.92,400.3344,363.933,338.0778
03-07,402.0678,396.981,400.3992,347.3604,352.9656,364.8078,390.177
03-08,411.3504,377.1684,382.158,348.867,332.829,424.6992,363.5928
03-09,388.4436,365.3748,368.1774,304.4466,393.3846,427.032,349.1586
03-10,381.429,362.394,313.2594,319.9338,371.5308,391.1166,327.5478
03-11,369.4248,320.0634,300.3642,388.7838,353.2086,358.506,310.6998
03-12,325.2798,316.4832,345.2544,367.9344,355.671,351.5724,277.182
